#,Тип публикации,Подкласс,Класс,OpenAlex,CrossRef,PubMed,Semantic Scholar
1,Peer Review,Peer Review,PEER,peer-review,peer-review,—,—
2,Journal Article,Original Experimental Data,EXP,article,journal-article,Journal Article,JournalArticle
3,Conference Paper,Original Experimental Data,EXP,article*,proceedings-article,Congress,Conference
4,Preprint,Original Experimental Data,EXP,preprint,posted-content,Preprint,—
5,Dataset,Original Experimental Data,EXP,dataset,dataset,Dataset,Dataset
6,Database,Original Experimental Data,EXP,database,database,Database,—
7,Dissertation,Original Experimental Data,EXP,dissertation,dissertation,Academic Dissertation,—
8,Report,Original Experimental Data,EXP,report,report,Technical Report,—
9,Report Component,Original Experimental Data,EXP,report-component,report-component,—,—
10,Component (figure/table/suppl),Original Experimental Data,EXP,—,component,—,—
11,Supplementary Materials,Original Experimental Data,EXP,supplementary-materials,—,Electronic Supplementary Materials,—
12,Software,Original Experimental Data,EXP,software,—,—,—
13,Patent,Original Experimental Data,EXP,—,—,Patent,—
14,Case Report,Original Experimental Data,EXP,—,—,Case Reports,CaseReport
15,Clinical Study,Original Experimental Data,EXP,—,—,Clinical Study,Study
16,Clinical Trial,Original Experimental Data,EXP,—,—,Clinical Trial,ClinicalTrial
17,Clinical Trial Protocol,Original Experimental Data,EXP,—,—,Clinical Trial Protocol,—
18,"Clinical Trial, Phase I",Original Experimental Data,EXP,—,—,"Clinical Trial, Phase I",—
19,"Clinical Trial, Phase II",Original Experimental Data,EXP,—,—,"Clinical Trial, Phase II",—
20,"Clinical Trial, Phase III",Original Experimental Data,EXP,—,—,"Clinical Trial, Phase III",—
21,"Clinical Trial, Phase IV",Original Experimental Data,EXP,—,—,"Clinical Trial, Phase IV",—
22,"Clinical Trial, Veterinary",Original Experimental Data,EXP,—,—,"Clinical Trial, Veterinary",—
23,Adaptive Clinical Trial,Original Experimental Data,EXP,—,—,Adaptive Clinical Trial,—
24,Pragmatic Clinical Trial,Original Experimental Data,EXP,—,—,Pragmatic Clinical Trial,—
25,Equivalence Trial,Original Experimental Data,EXP,—,—,Equivalence Trial,—
26,Randomized Controlled Trial,Original Experimental Data,EXP,—,—,Randomized Controlled Trial,—
27,"Randomized Controlled Trial, Vet",Original Experimental Data,EXP,—,—,"Randomized Controlled Trial, Veterinary",—
28,Controlled Clinical Trial,Original Experimental Data,EXP,—,—,Controlled Clinical Trial,—
29,Observational Study,Original Experimental Data,EXP,—,—,Observational Study,—
30,"Observational Study, Veterinary",Original Experimental Data,EXP,—,—,"Observational Study, Veterinary",—
31,Comparative Study,Original Experimental Data,EXP,—,—,Comparative Study,—
32,Validation Study,Original Experimental Data,EXP,—,—,Validation Study,—
33,Evaluation Study,Original Experimental Data,EXP,—,—,Evaluation Study,—
34,Multicenter Study,Original Experimental Data,EXP,—,—,Multicenter Study,—
35,Twin Study,Original Experimental Data,EXP,—,—,Twin Study,—
36,Clinical Conference,Original Experimental Data,EXP,—,—,Clinical Conference,—
37,Annual Report,Original Experimental Data,EXP,—,—,Annual Report,—
38,Statistics,Original Experimental Data,EXP,—,—,Statistics,—
39,Review,Reviews & Syntheses,REV,review,—,Review,Review
40,Systematic Review,Reviews & Syntheses,REV,—,—,Systematic Review,—
41,Meta-Analysis,Reviews & Syntheses,REV,—,—,Meta-Analysis,MetaAnalysis
42,Network Meta-Analysis,Reviews & Syntheses,REV,—,—,Network Meta-Analysis,—
43,Scoping Review,Reviews & Syntheses,REV,—,—,Scoping Review,—
44,Scientific Integrity Review,Reviews & Syntheses,REV,—,—,Scientific Integrity Review,—
45,Editorial,Editorial & Commentary,REV,editorial,—,Editorial,Editorial
46,Letter,Editorial & Commentary,REV,letter,—,Letter,LettersAndComments
47,Comment,Editorial & Commentary,REV,—,—,Comment,LettersAndComments
48,News,Editorial & Commentary,REV,—,—,News,News
49,Newspaper Article,Editorial & Commentary,REV,—,—,Newspaper Article,—
50,Interview,Editorial & Commentary,REV,—,—,Interview,—
51,Address,Editorial & Commentary,REV,—,—,Address,—
52,Introductory Journal Article,Editorial & Commentary,REV,—,—,Introductory Journal Article,—
53,Meeting Abstract,Editorial & Commentary,REV,—,—,Meeting Abstract,—
54,Popular Work,Editorial & Commentary,REV,—,—,Popular Work,—
55,Blog,Editorial & Commentary,REV,—,—,Blog,—
56,Webcast,Editorial & Commentary,REV,—,—,Webcast,—
57,Erratum,Corrections & Retractions,REV,erratum,—,Published Erratum,—
58,Retraction notice,Corrections & Retractions,REV,retraction,—,Retraction of Publication,—
59,Retracted Publication,Corrections & Retractions,REV,—,—,Retracted Publication,—
60,Corrected and Republished Article,Corrections & Retractions,REV,—,—,Corrected and Republished Article,—
61,Expression of Concern,Corrections & Retractions,REV,—,—,Expression of Concern,—
62,Duplicate Publication,Corrections & Retractions,REV,—,—,Duplicate Publication,—
63,Book,Books & Monographs,REV,book,book,—,Book
64,Book Chapter,Books & Monographs,REV,book-chapter,book-chapter,—,BookSection
65,Book Section,Books & Monographs,REV,book-section,book-section,—,—
66,Book Part,Books & Monographs,REV,—,book-part,—,—
67,Book Track,Books & Monographs,REV,—,book-track,—,—
68,Book Set,Books & Monographs,REV,—,book-set,—,—
69,Book Series,Books & Monographs,REV,—,book-series,—,—
70,Edited Book,Books & Monographs,REV,—,edited-book,—,—
71,Reference Book,Books & Monographs,REV,—,reference-book,—,—
72,Monograph,Books & Monographs,REV,—,monograph,Monograph,—
73,Book Review,Books & Monographs,REV,—,—,Book Review,—
74,Book Illustrations,Books & Monographs,REV,—,—,Book Illustrations,—
75,Collected Work,Books & Monographs,REV,—,—,Collected Work,—
76,Collection,Books & Monographs,REV,—,—,Collection,—
77,Festschrift,Books & Monographs,REV,—,—,Festschrift,—
78,Reference Entry,Reference & Encyclopedic,REV,reference-entry,reference-entry,—,—
79,Encyclopedia,Reference & Encyclopedic,REV,—,—,Encyclopedia,—
80,Dictionary,Reference & Encyclopedic,REV,—,—,Dictionary,—
81,"Dictionary, Chemical",Reference & Encyclopedic,REV,—,—,"Dictionary, Chemical",—
82,"Dictionary, Classical",Reference & Encyclopedic,REV,—,—,"Dictionary, Classical",—
83,"Dictionary, Dental",Reference & Encyclopedic,REV,—,—,"Dictionary, Dental",—
84,"Dictionary, Medical",Reference & Encyclopedic,REV,—,—,"Dictionary, Medical",—
85,"Dictionary, Pharmaceutic",Reference & Encyclopedic,REV,—,—,"Dictionary, Pharmaceutic",—
86,"Dictionary, Polyglot",Reference & Encyclopedic,REV,—,—,"Dictionary, Polyglot",—
87,Terminology,Reference & Encyclopedic,REV,—,—,Terminology,—
88,Atlas,Reference & Encyclopedic,REV,—,—,Atlas,—
89,Pharmacopoeia,Reference & Encyclopedic,REV,—,—,Pharmacopoeia,—
90,"Pharmacopoeia, Homeopathic",Reference & Encyclopedic,REV,—,—,"Pharmacopoeia, Homeopathic",—
91,Formulary,Reference & Encyclopedic,REV,—,—,Formulary,—
92,"Formulary, Dental",Reference & Encyclopedic,REV,—,—,"Formulary, Dental",—
93,"Formulary, Homeopathic",Reference & Encyclopedic,REV,—,—,"Formulary, Homeopathic",—
